Date,Country,Total
2017-10-15T00:00:00Z,Netherlands,11430
2017-10-15T00:00:00Z,United Kingdom,41317
2017-10-22T00:00:00Z,Belgium,6836
2017-10-22T00:00:00Z,France,36467
2017-10-22T00:00:00Z,Ireland,5687
2017-10-22T00:00:00Z,Luxembourg,1445
2017-10-22T00:00:00Z,Netherlands,11245
2017-10-22T00:00:00Z,United Kingdom,41367
2017-10-29T00:00:00Z,Belgium,6034
2017-10-29T00:00:00Z,France,30605
2017-10-29T00:00:00Z,Ireland,5161
2017-10-29T00:00:00Z,Luxembourg,1354
2017-10-29T00:00:00Z,Netherlands,10075
2017-10-29T00:00:00Z,United Kingdom,37110
2017-11-05T00:00:00Z,Belgium,6194
2017-11-05T00:00:00Z,France,31725
2017-11-05T00:00:00Z,Ireland,4944
2017-11-05T00:00:00Z,Luxembourg,1376
2017-11-05T00:00:00Z,Netherlands,9878
2017-11-05T00:00:00Z,United Kingdom,36014
2017-11-12T00:00:00Z,Belgium,6041
2017-11-12T00:00:00Z,France,31025
2017-11-12T00:00:00Z,Ireland,4890
2017-11-12T00:00:00Z,Luxembourg,1329
2017-11-12T00:00:00Z,Netherlands,9816
2017-11-12T00:00:00Z,United Kingdom,35552
2017-11-19T00:00:00Z,Belgium,6082
2017-11-19T00:00:00Z,France,30933
2017-11-19T00:00:00Z,Ireland,4715
2017-11-19T00:00:00Z,Luxembourg,1342
